tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
15:53:07.035857 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 116547333:116547441, ack 1610439508, win 501, options [nop,nop,TS val 833723015 ecr 2630763461], length 108
15:53:07.452519 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 18864:19068, ack 37, win 501, options [nop,nop,TS val 833723431 ecr 2630763789], length 204
15:53:07.452557 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 19068:19104, ack 37, win 501, options [nop,nop,TS val 833723431 ecr 2630763789], length 36
15:53:07.452612 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 19104:19308, ack 37, win 501, options [nop,nop,TS val 833723431 ecr 2630763789], length 204
15:53:07.452650 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 19308:19344, ack 37, win 501, options [nop,nop,TS val 833723431 ecr 2630763789], length 36
15:53:07.452712 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 19344:19548, ack 37, win 501, options [nop,nop,TS val 833723431 ecr 2630763789], length 204
15:53:07.452750 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 19548:19584, ack 37, win 501, options [nop,nop,TS val 833723431 ecr 2630763789], length 36
15:53:07.452835 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 19584:19788, ack 37, win 501, options [nop,nop,TS val 833723432 ecr 2630763789], length 204
15:53:07.452883 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 19788:19824, ack 37, win 501, options [nop,nop,TS val 833723432 ecr 2630763789], length 36
15:53:07.452944 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 19824:20028, ack 37, win 501, options [nop,nop,TS val 833723432 ecr 2630763789], length 204
15:53:07.452986 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 20028:20064, ack 37, win 501, options [nop,nop,TS val 833723432 ecr 2630763789], length 36
15:53:07.453050 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 20064:20268, ack 37, win 501, options [nop,nop,TS val 833723432 ecr 2630763789], length 204
15:53:07.453092 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 20268:20304, ack 37, win 501, options [nop,nop,TS val 833723432 ecr 2630763789], length 36
15:53:07.453157 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 20304:20508, ack 37, win 501, options [nop,nop,TS val 833723432 ecr 2630763789], length 204
15:53:07.453200 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 20508:20544, ack 37, win 501, options [nop,nop,TS val 833723432 ecr 2630763789], length 36
15:53:07.453280 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 20544:20732, ack 37, win 501, options [nop,nop,TS val 833723432 ecr 2630763789], length 188
15:53:07.455700 IP 198.96.85.106.49154 > 159.203.26.59.22: Flags [.], ack 11904, win 6832, options [nop,nop,TS val 2630763886 ecr 833723428], length 0
15:53:07.455762 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 20732:21680, ack 37, win 501, options [nop,nop,TS val 833723434 ecr 2630763886], length 948
15:53:07.458559 IP 198.96.85.106.49154 > 159.203.26.59.22: Flags [.], ack 15708, win 6788, options [nop,nop,TS val 2630763889 ecr 833723430], length 0
15:53:07.458559 IP 198.96.85.106.49154 > 159.203.26.59.22: Flags [.], ack 19548, win 6728, options [nop,nop,TS val 2630763889 ecr 833723431], length 0
15:53:07.460822 IP 198.96.85.106.49154 > 159.203.26.59.22: Flags [.], ack 20732, win 6709, options [nop,nop,TS val 2630763889 ecr 833723432], length 0
15:53:07.460822 IP 198.96.85.106.49154 > 159.203.26.59.22: Flags [.], ack 20732, win 6847, options [nop,nop,TS val 2630763891 ecr 833723432], length 0
15:53:07.468269 IP 198.96.85.106.49154 > 159.203.26.59.22: Flags [.], ack 21680, win 6832, options [nop,nop,TS val 2630763894 ecr 833723434], length 0
^C
178 packets captured
229 packets received by filter
0 packets dropped by kernel
